"date.time","Date","Time","Power","Current","Pressure","Flow","Density"
2015-01-25 02:18:00,"25/01/2015","2:18:00 AM",5040.8867,72.61680756,76.26879377,341.3302765,321.4392645
2015-01-25 02:21:00,"25/01/2015","2:21:00 AM",5037.5171,75.46239318,69.34806354,338.3327362,324.4856992
2015-01-25 02:24:00,"25/01/2015","2:24:00 AM",5026.644,76.68895391,79.2977791,336.4915737,324.3922904
2015-01-25 02:27:00,"25/01/2015","2:27:00 AM",4996.9307,75.53433805,77.77217005,331.6138847,321.8188248
2015-01-25 02:30:00,"25/01/2015","2:30:00 AM",4979.6807,75.28655769,69.85640742,341.5585324,321.6149842
2015-01-25 02:33:00,"25/01/2015","2:33:00 AM",5091.5747,77.13127814,70.4876272,330.8543817,325.4408637
2015-01-25 02:36:00,"25/01/2015","2:36:00 AM",5067.0273,73.45928002,77.57571307,331.7841954,322.7662963
2015-01-25 02:39:00,"25/01/2015","2:39:00 AM",5081.126,72.22286604,74.11366962,336.6968939,321.5057125
2015-01-25 02:42:00,"25/01/2015","2:42:00 AM",4989.6182,72.17380765,72.44887367,326.2988246,321.1777328
2015-01-25 02:45:00,"25/01/2015","2:45:00 AM",5025.3403,73.33321365,72.68331809,338.2706314,321.5757478
2015-01-25 02:48:00,"25/01/2015","2:48:00 AM",4975.2324,75.0956065,79.91328307,340.1280403,321.6519891
2015-01-25 02:51:00,"25/01/2015","2:51:00 AM",5060.5005,74.44985374,75.60491433,339.866068,318.3150409
2015-01-25 02:54:00,"25/01/2015","2:54:00 AM",5094.5454,72.94612604,70.65900797,332.696008,321.7117978
2015-01-25 02:57:00,"25/01/2015","2:57:00 AM",5002.2803,76.22219599,73.35201906,337.3612321,325.4935464
2015-01-25 03:00:00,"25/01/2015","3:00:00 AM",5059.4912,73.3575572,78.1336824,320.7177525,317.9855408
2015-01-25 03:03:00,"25/01/2015","3:03:00 AM",4890.6699,75.28111516,79.2224546,323.0999388,317.2215542
2015-01-25 03:06:00,"25/01/2015","3:06:00 AM",4889.0234,76.73677833,78.94719059,313.0195415,315.303669
2015-01-25 03:09:00,"25/01/2015","3:09:00 AM",4835.5894,77.67946158,83.87639766,327.3883869,316.8808878
2015-01-25 03:12:00,"25/01/2015","3:12:00 AM",4887.4146,73.27954549,92.42811303,331.4449667,319.797377
2015-01-25 03:15:00,"25/01/2015","3:15:00 AM",4794.8438,78.20615008,90.53205223,338.3458685,317.1933513
2015-01-25 03:18:00,"25/01/2015","3:18:00 AM",4803.2778,74.78019248,71.32444765,318.5097356,324.7428755
2015-01-25 03:21:00,"25/01/2015","3:21:00 AM",4846.4395,75.54381727,78.5273813,333.5511312,322.9085111
2015-01-25 03:24:00,"25/01/2015","3:24:00 AM",4603.5806,71.24639231,74.26697931,316.3945036,324.3890076
2015-01-25 03:27:00,"25/01/2015","3:27:00 AM",4425.5786,69.5185982,76.85479895,314.9508229,317.5730413
2015-01-25 03:30:00,"25/01/2015","3:30:00 AM",4342.6064,72.70720601,74.7260139,310.0593012,320.5119851
2015-01-25 03:33:00,"25/01/2015","3:33:00 AM",4306.3687,72.00543781,80.12326624,320.3107746,319.5491731
2015-01-25 03:36:00,"25/01/2015","3:36:00 AM",4195.4824,73.34417575,76.77017549,316.4602523,320.3600974
2015-01-25 03:39:00,"25/01/2015","3:39:00 AM",4131.8955,68.41439041,72.64243242,315.5202009,320.7522956
2015-01-25 03:42:00,"25/01/2015","3:42:00 AM",4191.0234,69.81157144,75.055532,306.3070332,317.9021109
2015-01-25 03:45:00,"25/01/2015","3:45:00 AM",4066.4807,68.37083065,75.52583423,314.363815,318.8728242
2015-01-25 03:48:00,"25/01/2015","3:48:00 AM",4060.7437,68.49306914,79.93306993,307.6998668,320.6236426
2015-01-25 03:51:00,"25/01/2015","3:51:00 AM",4050.7522,66.77044488,76.18724699,313.7000345,316.8117463
2015-01-25 03:54:00,"25/01/2015","3:54:00 AM",4053.6357,67.30389392,77.54229115,306.3763235,320.5321241
2015-01-25 03:57:00,"25/01/2015","3:57:00 AM",4129.4912,72.65998798,75.70671973,309.3979934,319.0612714
